DATE,USREC
01/01/1924,1
01/02/1924,1
01/03/1924,1
01/04/1924,1
01/05/1924,1
01/06/1924,1
01/07/1924,1
01/08/1924,0
01/09/1924,0
01/10/1924,0
01/11/1924,0
01/12/1924,0
01/01/1925,0
01/02/1925,0
01/03/1925,0
01/04/1925,0
01/05/1925,0
01/06/1925,0
01/07/1925,0
01/08/1925,0
01/09/1925,0
01/10/1925,0
01/11/1925,0
01/12/1925,0
01/01/1926,0
01/02/1926,0
01/03/1926,0
01/04/1926,0
01/05/1926,0
01/06/1926,0
01/07/1926,0
01/08/1926,0
01/09/1926,0
01/10/1926,0
01/11/1926,1
01/12/1926,1
01/01/1927,1
01/02/1927,1
01/03/1927,1
01/04/1927,1
01/05/1927,1
01/06/1927,1
01/07/1927,1
01/08/1927,1
01/09/1927,1
01/10/1927,1
01/11/1927,1
01/12/1927,0
01/01/1928,0
01/02/1928,0
01/03/1928,0
01/04/1928,0
01/05/1928,0
01/06/1928,0
01/07/1928,0
01/08/1928,0
01/09/1928,0
01/10/1928,0
01/11/1928,0
01/12/1928,0
01/01/1929,0
01/02/1929,0
01/03/1929,0
01/04/1929,0
01/05/1929,0
01/06/1929,0
01/07/1929,0
01/08/1929,0
01/09/1929,1
01/10/1929,1
01/11/1929,1
01/12/1929,1
01/01/1930,1
01/02/1930,1
01/03/1930,1
01/04/1930,1
01/05/1930,1
01/06/1930,1
01/07/1930,1
01/08/1930,1
01/09/1930,1
01/10/1930,1
01/11/1930,1
01/12/1930,1
01/01/1931,1
01/02/1931,1
01/03/1931,1
01/04/1931,1
01/05/1931,1
01/06/1931,1
01/07/1931,1
01/08/1931,1
01/09/1931,1
01/10/1931,1
01/11/1931,1
01/12/1931,1
01/01/1932,1
01/02/1932,1
01/03/1932,1
01/04/1932,1
01/05/1932,1
01/06/1932,1
01/07/1932,1
01/08/1932,1
01/09/1932,1
01/10/1932,1
01/11/1932,1
01/12/1932,1
01/01/1933,1
01/02/1933,1
01/03/1933,1
01/04/1933,0
01/05/1933,0
01/06/1933,0
01/07/1933,0
01/08/1933,0
01/09/1933,0
01/10/1933,0
01/11/1933,0
01/12/1933,0
01/01/1934,0
01/02/1934,0
01/03/1934,0
01/04/1934,0
01/05/1934,0
01/06/1934,0
01/07/1934,0
01/08/1934,0
01/09/1934,0
01/10/1934,0
01/11/1934,0
01/12/1934,0
01/01/1935,0
01/02/1935,0
01/03/1935,0
01/04/1935,0
01/05/1935,0
01/06/1935,0
01/07/1935,0
